model_key,mileage,engine_power,fuel,paint_color,car_type,private_parking_available,has_gps,has_air_conditioning,automatic_car,has_getaround_connect,has_speed_regulator,winter_tires
Renault,174716,120,diesel,black,sedan,True,True,False,False,False,False,True
Peugeot,174005,110,petrol,black,hatchback,False,False,False,False,False,False,True
Citroën,48747,135,diesel,black,estate,False,False,False,False,False,False,False
Audi,184808,120,diesel,silver,sedan,True,False,False,False,False,False,True
Citroën,183403,135,diesel,grey,estate,False,True,False,False,False,False,True
Peugeot,159878,100,diesel,black,estate,True,True,False,False,False,False,True
Volkswagen,125624,135,diesel,silver,hatchback,True,True,True,False,True,False,True
Citroën,75373,135,diesel,blue,estate,False,False,False,False,False,False,False
Citroën,134449,105,diesel,black,hatchback,False,False,False,False,False,False,True
Mitsubishi,85387,190,diesel,black,suv,True,True,False,True,True,False,True
